username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MGH_RI,2018-06-12,13:03:19,New research from #MGH's Amar Sahay published in @CellReports identifies a critical role for a protein called Kruppel-like factor 9 in the brain’s response to #stress https://www.cell.com/cell-reports/fulltext/S2211-1247(18)30786-1 …,4,0,1,True,"#MGH,#stress"
AmarSahay2074,2018-06-12,10:13:56,@AntoineBesnard3 Study identifies protein's role in mediating brain's response to stress  https://medicalxpress.com/news/2018-06-protein-role-brain-response-stress.html … via @medical_xpress Congrats @antoinebesnard3 and rest of the team! #PTSD#stress#resilience#MDD,5,0,1,True,"#PTSD,#stress,#resilience,#MDD"
AmarSahay2074,2018-06-13,04:49:17,Super excited to have @ZhixunDou join our center!  Looking forward! https://twitter.com/berger_lab/status/1006551344977674240 …,4,0,1,True,
NIHDirector,2018-05-24,10:22:46,Where is the #brain’s #memory card catalog located? These @MassGeneral neuroscientists think they’ve uncovered some new clues. #NIH https://bit.ly/2GLgyVP ,78,0,42,True,"#brain,#memory,#NIH"
MassGeneralCRM,2018-05-25,06:04:53,Excited to have Dr. Francis Collins @NIHDirector highlight the recent work being done by @AmarSahay2074 on his Director's Blog! https://directorsblog.nih.gov/2018/05/24/unlocking-the-brains-memory-retrieval-system/amp/?__twitter_impression=true …,2,0,1,True,
tararaam_,2017-12-08,06:54:40,my paper is out! Oxytocin receptors in the hippocampus promote social memory. This was a fun journey with @AmarSahay2074 https://twitter.com/AmarSahay2074/status/939106277678075904 …,14,1,1,True,
AmarSahay2074,2017-12-08,06:15:59,Excited to share our study showing how Oxytocin usurps a basic memory circuit scaffold in DG-CA3 to enable discrimination of social stimuli.    https://www.nature.com/articles/s41467-017-02173-0 …,120,11,52,True,
jclinicalinvest,2017-12-06,09:20:15,@MassGeneralCRM Bone marrow-derived cells contribute to CNS recovery from radiation injury  https://buff.ly/2iPwvEM  @massgeneralcrm @harvardstemcell @HSCRB pic.twitter.com/xE9ixtShk2,4,0,3,True,
harvardstemcell,2017-12-07,11:44:50,.@jghoggatt & colleagues' new method of collecting donor #stemcells for bone marrow transplantation could be less painful and disruptive:  https://hsci.harvard.edu/news/mobilizing-stem-cells-bone-marrow-transplantation … pic.twitter.com/7PbeCSXzYM,7,0,2,True,#stemcells
