username,date,time,tweet,likes,replies,retweets,retweet,hashtags
HarvardFxb,2018-06-04,06:15:05,"@COwildernessMED New on the Harvard FXB Press page, links to frequently asked questions about our @HarvardChanSPH @COwildernessmed @UAlbizuPR study @NEJM on mortality  in #PuertoRico after #Hurricane Maria https://buff.ly/2LjQe7V ",2,0,4,True,"#PuertoRico,#Hurricane"
JayLemery,2018-05-29,14:09:56,Our study with colleagues from @HarvardFxb & @HarvardChanSPHWe estimated that the number of excess deaths related to Hurricane Maria in Puerto Rico is more than 70 times the official estimate. http://ow.ly/Cgoz30keL33 @COwildernessMED@CUAnschutz@CUMedicalSchool@DenverEMed,13,0,6,True,
COwildernessMED,2018-05-25,15:53:31,Our May-June pre-med students learned how to suture yesterday! They also learned about patient movement in remote settings! #emergencymedicine #wildernessmedicine pic.twitter.com/hDIsUlzeWS,2,0,0,True,"#emergencymedicine,#wildernessmedicine"
COwildernessMED,2018-05-23,16:51:22,Our May-June pre-med students are in action! They learned how to ultrasound yesterday! Thank you Dr. Browne for a great lab and lecture! pic.twitter.com/jZaZZw2gdY,12,0,1,True,
COwildernessMED,2018-05-21,15:54:07,"Medical Monday: What do you do if your friend flips over the handle bars while mountain biking? Dr. Todd Miner, Education Director at the University of Colorado Wilderness and Environmental Medicine section,... https://www.facebook.com/ColoradoWM/videos/2073125529601801/ …",4,1,2,True,
COwildernessMED,2018-05-21,04:03:37,Would you be prepared to splint a broken bone in the backcountry? Check out our overview on splinting techniques for a quick refresher! https://www.coloradowm.org/blog/splinting-review/ …,13,0,9,True,
COwildernessMED,2018-05-12,09:00:06,Have you entered our contest to win a free jacket? Only 3 days left until we pick the winner! https://gleam.io/1HKQw/cu-wilderness-medicine-jacket-giveaway …,1,0,0,True,
COwildernessMED,2018-05-07,11:35:55,"Should you take a gap year before medical school? Watch Karina Goodwin, Senior Admissions Professional at the University of Colorado, answer if a student should take a gap year or not. https://www.facebook.com/ColoradoWM/videos/2066352880279066/ …",2,0,2,True,
COwildernessMED,2018-04-20,11:56:43,Interested in how others studied for the mcat? https://www.youtube.com/watch?v=bFbN5Mrqemg …,0,0,0,True,
COwildernessMED,2018-04-18,11:29:14,"Check out this session of The Premed Years podcast featuring Dr. Elaine Reno, Assistant Professor in Emergency Medicine at the University of Colorado. Dr. Reno discusses her journey to... https://medicalschoolhq.net/pmy-279-from-a-cocktail-waitress-to-physician-and-em-doc/ …",8,0,2,True,
JayLemery,2018-04-17,19:11:10,"It's @enviromedics week in Colorado!Tomorrow, high noon, #GlobalHealth lecture series at @ColoradoSPH Center for Global Health.How #ClimateChangesHealth and what we do about it.@COglobalEM@docsforclimate@COwildernessMED@Climate4Health@CUAnschutz pic.twitter.com/GA1qClM5YF",9,0,4,True,"#GlobalHealth,#ClimateChangesHealth"
COwildernessMED,2018-04-16,09:55:32,"Join us tonight for a presentation and a book signing by our section chief, Dr. Jay Lemery, presenting his new book Enviromedics at the Tattered Cover Book Store at 7:00 PM. He is the co-author of the book...  https://www.facebook.com/ColoradoWM/posts/2056123124635375 …",0,1,0,True,
COwildernessMED,2018-04-15,21:33:31,"Win a CU Wilderness Medicine Jacket! Entering is easy, just click the link below. 🎉🎁🎉 https://gleam.io/1HKQw/cu-wilderness-medicine-jacket-giveaway …",2,0,1,True,
COwildernessMED,2018-04-15,20:00:05,We're giving away a CU Wilderness Medicine Jacket! Enter for your chance to win by clicking the link below 🎁🎉 https://gleam.io/1HKQw/cu-wilderness-medicine-jacket-giveaway …,0,0,1,True,
RockyMtnRescue,2018-04-09,10:56:43,Recent Avy fatality this last weekend. Stay vigilant. https://twitter.com/caicstate/status/983347419571040257 …,0,0,1,True,
COwildernessMED,2018-04-08,09:32:21,Thoughts?   https://mobile.nytimes.com/2018/04/05/education/learning/project-based-learning.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=second-column-region&region=top-news&WT.nav=top-news … https://mobile.nytimes.com/2018/04/05/education/learning/project-based-learning.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=second-column-region&region=top-news&WT.nav=top-news …,0,0,0,True,
JayLemery,2018-04-07,12:00:36,"Crashing & burning during a shift now has a whole different meaning... International Extreme Sports Medicine Congress-- endogenous adrenaline, deadly injuries, and high-end cocktails. My favorite biennial!June 1&2 @CUBoulder http://ow.ly/h93v30jmGGP #MedEd@COwildernessMED pic.twitter.com/BKM6AdGJTQ",7,0,3,True,#MedEd
CUBoulderATOC,2018-03-30,10:04:09,"The Future of Skiing: The Science Behind Snow, featuring CU profs Jen Kay and Ben Livneh -- Saturday April 7  https://www.arapahoebasin.com/event/thefutureofskiing/ … @Arapahoe_Basin @CIRESnews @cu_cstpr @COwildernessMED @ProtectWinters @CUBoulderNews pic.twitter.com/XaTxg698tF",10,0,7,True,
COwildernessMED,2018-03-29,13:08:06,"Looking for summer plans? Spend two weeks getting a hands on look into the fields of emergency and wilderness medicine. Experience EMS ride alongs, ED shadowing, backpacking, kayaking, and rock climbing. You will have...  https://www.facebook.com/ColoradoWM/posts/2047022582212096 …",6,0,1,True,
COwildernessMED,2018-03-28,22:37:30,Which type are you? http://socawlege.com/the-11-types-of-pre-medical-students/ …,0,0,0,True,
COwildernessMED,2018-03-27,11:18:27,Student adventures! Rocky Mountain National Park and Channel Islands!,1,0,1,True,
COwildernessMED,2018-03-23,15:56:56,Our students are pretty awesome! #getoutside #rockstarts,0,0,0,True,"#getoutside,#rockstarts"
COwildernessMED,2018-03-23,15:35:38,Congrats to a new group of WFRs.  #ROCKSTARS #snowday2018 #Snowmageddon #premed pic.twitter.com/Jp2V7Wb8P0,2,0,0,True,"#ROCKSTARS,#snowday2018,#Snowmageddon,#premed"
COwildernessMED,2018-03-23,15:26:40,Our students are awesome!  Congrats to the new grads. pic.twitter.com/rnpffixVUq,6,0,0,True,
COwildernessMED,2018-03-23,15:22:48,Want to learn more about global health?  Join us for the Global Emergency Care Initiative course in Austere Medicine!   http://coloradoglobalem.org/missioncraft/ @COglobalEM @TayBurkholder @CUDenverAbroad @CUAnschutz @elainemreno pic.twitter.com/LNlQhYXUSr,1,0,1,True,
COwildernessMED,2018-03-20,12:47:03,Take a look at some of our highlights from our March CO 2018 Pre-Med course that took place last week!  #wildernessmedicine #PreMed #RockyMountainNationalPark #EstesPark,2,0,1,True,"#wildernessmedicine,#PreMed,#RockyMountainNationalPark,#EstesPark"
COwildernessMED,2018-03-19,18:31:19,Yes! Missioncraft in austere & disaster environments:  http://coloradoglobalem.org/missioncraft/  pic.twitter.com/iEhCBaB3ei,6,0,2,True,
COwildernessMED,2018-03-19,15:04:43,"Nervous and not sure how to study for the MCAT? Listen to our Wilderness Medicine Fellow, Dr. Kurt Eifling,... https://fb.me/KUr6kcWv ",1,0,0,True,
COwildernessMED,2018-03-08,15:01:50,"In honor of International Women's Day, we want to say thank you to all the powerful women in medicine who have... https://fb.me/1RsmulZjN ",9,0,2,True,
COwildernessMED,2018-03-01,15:39:19, https://fb.me/8fAmk3cOY ,2,0,0,True,
COwildernessMED,2018-02-20,10:30:50,Interested in taking one of our courses? Take a look at one of our student testimonials from our January 2018 Pre-Med course. Photo Credit: Kelli Kokame pic.twitter.com/bin6juRlja,3,0,1,True,
